client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome
24999,50,entrepreneur,married,basic.9y,no,no,nov,8,2,1,0,nonexistent,93.2,4.153,no
12662,38,blue-collar,married,unknown,unknown,no,jul,26,340,3,0,nonexistent,93.918,4.96,no
41020,25,student,single,high.school,no,yes,oct,8,234,1,1,success,94.601,1.029,yes
756,30,services,married,university.degree,no,yes,may,6,51,3,0,nonexistent,93.994,4.856,no
28062,45,blue-collar,married,basic.4y,unknown,yes,apr,14,905,1,1,failure,93.075,1.479,no
6314,55,retired,married,high.school,no,yes,may,27,591,5,0,nonexistent,93.994,4.857,no
12357,45,blue-collar,married,basic.9y,no,yes,jul,22,297,1,0,nonexistent,93.918,4.959,no
12515,,,married,,no,yes,jul,17,201,1,0,nonexistent,93.918,4.96,no
23461,44,technician,married,professional.course,no,yes,aug,30,27,9,0,nonexistent,93.444,4.964,no
6108,34,blue-collar,married,basic.9y,unknown,no,may,27,59,1,0,nonexistent,93.994,4.857,no
32668,,,married,,no,yes,may,15,934,1,1,failure,92.893,1.299,yes
38202,63,retired,married,high.school,no,yes,oct,14,323,1,0,nonexistent,92.431,0.74,no
2464,36,blue-collar,married,basic.9y,unknown,no,may,9,296,1,0,nonexistent,93.994,4.856,no
33789,24,admin.,married,basic.9y,no,yes,may,28,302,1,1,success,92.893,1.281,yes
15983,24,admin.,single,high.school,no,yes,jul,20,722,3,0,nonexistent,93.918,4.96,no
12893,37,blue-collar,single,basic.6y,no,no,jul,18,338,3,0,nonexistent,93.918,4.962,no
24129,52,technician,divorced,university.degree,no,no,nov,22,215,1,0,nonexistent,93.2,4.191,no
27059,31,admin.,single,high.school,no,yes,nov,7,63,1,0,nonexistent,93.2,4.021,no
39196,41,admin.,divorced,university.degree,no,yes,mar,13,498,2,3,success,93.369,0.653,yes
29731,60,blue-collar,married,basic.4y,unknown,yes,apr,8,89,1,0,nonexistent,93.075,1.405,no
27101,35,admin.,single,university.degree,no,yes,nov,12,530,1,0,nonexistent,93.2,4.021,yes
4500,50,admin.,single,university.degree,no,yes,may,6,169,1,0,nonexistent,93.994,4.856,no
27190,50,admin.,married,university.degree,no,yes,nov,4,189,2,1,failure,93.2,4.021,no
3419,45,blue-collar,married,basic.4y,no,yes,may,19,276,3,0,nonexistent,93.994,4.86,no
40576,33,technician,single,professional.course,no,no,sep,14,425,1,0,nonexistent,94.199,0.886,no
26278,42,management,married,university.degree,no,no,nov,14,110,2,0,nonexistent,93.2,4.076,no
38246,77,retired,married,university.degree,no,no,oct,26,348,1,0,nonexistent,92.431,0.743,yes
1631,32,admin.,married,high.school,no,yes,may,27,83,2,0,nonexistent,93.994,4.855,no
2990,43,services,single,high.school,unknown,yes,may,27,902,5,0,nonexistent,93.994,4.859,no
37777,57,retired,married,university.degree,no,yes,aug,17,349,1,0,nonexistent,92.201,0.843,no
18428,47,admin.,married,high.school,unknown,no,jul,13,225,5,0,nonexistent,93.918,4.968,no
26095,44,entrepreneur,married,university.degree,no,yes,nov,22,676,2,0,nonexistent,93.2,4.12,no
32714,51,entrepreneur,married,professional.course,unknown,no,may,3,295,1,1,failure,92.893,1.299,no
35636,28,services,single,high.school,no,yes,may,1,91,6,0,nonexistent,92.893,1.244,no
18183,36,admin.,married,high.school,no,yes,jul,21,136,13,0,nonexistent,93.918,4.963,no
216,30,blue-collar,single,unknown,no,yes,may,2,251,1,0,nonexistent,93.994,4.857,no
13328,,,married,,no,yes,jul,29,693,2,0,nonexistent,93.918,4.962,no
24444,32,admin.,single,high.school,no,yes,nov,25,92,1,1,failure,93.2,4.191,no
25602,43,services,divorced,high.school,no,no,nov,19,466,1,0,nonexistent,93.2,4.12,no
3445,40,blue-collar,single,basic.4y,unknown,no,may,17,487,4,0,nonexistent,93.994,4.86,no
33317,,,married,,unknown,yes,may,29,527,2,0,nonexistent,92.893,1.291,no
13282,44,admin.,married,high.school,no,yes,jul,28,97,1,0,nonexistent,93.918,4.962,no
4243,46,blue-collar,married,basic.4y,no,yes,may,3,409,2,0,nonexistent,93.994,4.856,no
13926,36,services,single,high.school,no,yes,jul,31,249,2,0,nonexistent,93.918,4.963,no
3270,46,blue-collar,single,basic.4y,no,no,may,12,218,2,0,nonexistent,93.994,4.86,no
34279,31,services,married,high.school,no,yes,may,9,348,1,0,nonexistent,92.893,1.266,no
34151,56,blue-collar,married,basic.4y,no,yes,may,29,80,2,0,nonexistent,92.893,1.281,no
18143,25,services,single,basic.9y,no,yes,jul,30,535,1,0,nonexistent,93.918,4.963,no
26517,,,married,,no,no,nov,29,227,1,0,nonexistent,93.2,4.076,no
8085,49,blue-collar,married,basic.4y,unknown,no,jun,29,174,2,0,nonexistent,94.465,4.865,no
27441,40,management,married,high.school,no,yes,nov,8,7,4,0,nonexistent,93.2,4.021,no
41031,25,student,single,high.school,no,yes,oct,22,189,1,4,success,94.601,1.032,no
25158,,,divorced,,no,no,nov,6,179,1,0,nonexistent,93.2,4.153,no
26621,,,single,,no,yes,nov,15,70,1,0,nonexistent,93.2,4.076,no
38324,28,services,married,basic.9y,no,yes,oct,31,186,1,1,failure,92.431,0.739,yes
8231,,,married,,no,yes,jun,4,126,4,0,nonexistent,94.465,4.864,no
28107,44,management,divorced,university.degree,no,yes,apr,5,230,1,0,nonexistent,93.075,1.479,no
11011,42,admin.,married,basic.6y,no,yes,jun,16,300,3,0,nonexistent,94.465,4.962,no
532,41,blue-collar,married,basic.6y,no,no,may,16,13,1,0,nonexistent,93.994,4.857,no
11511,60,retired,divorced,university.degree,no,yes,jun,26,98,4,0,nonexistent,94.465,4.959,no
22236,29,admin.,single,high.school,no,yes,aug,17,788,3,0,nonexistent,93.444,4.963,yes
36852,53,housemaid,married,basic.4y,no,yes,jun,13,245,2,0,nonexistent,92.963,1.252,yes
38578,60,technician,married,basic.4y,no,yes,oct,10,133,6,2,failure,92.431,0.722,no
10646,,,divorced,,unknown,yes,jun,29,205,1,0,nonexistent,94.465,4.961,no
29822,52,entrepreneur,married,basic.9y,no,yes,apr,21,67,5,0,nonexistent,93.075,1.405,no
16548,49,self-employed,divorced,university.degree,no,no,jul,29,207,2,0,nonexistent,93.918,4.963,no
2000,,,married,,no,yes,may,3,1002,5,0,nonexistent,93.994,4.857,no
28517,,,married,,unknown,yes,apr,5,72,4,0,nonexistent,93.075,1.423,no
17075,,,single,,no,no,jul,19,295,1,0,nonexistent,93.918,4.962,no
6330,28,management,married,university.degree,no,no,may,2,371,2,0,nonexistent,93.994,4.857,no
29675,33,blue-collar,married,high.school,no,no,apr,26,87,2,2,failure,93.075,1.405,no
18294,38,admin.,married,unknown,no,yes,jul,29,87,3,0,nonexistent,93.918,4.963,no
23558,46,technician,married,university.degree,no,yes,aug,19,13,14,0,nonexistent,93.444,4.962,no
7945,54,admin.,married,high.school,unknown,yes,jun,22,490,12,0,nonexistent,94.465,4.865,no
23678,45,technician,divorced,professional.course,no,no,aug,16,76,1,0,nonexistent,93.444,4.962,no
11335,38,admin.,married,high.school,no,yes,jun,11,117,2,0,nonexistent,94.465,4.961,no
729,24,technician,single,professional.course,no,no,may,20,421,2,0,nonexistent,93.994,4.857,no
20940,31,technician,married,university.degree,no,yes,aug,30,214,1,0,nonexistent,93.444,4.964,no
4168,29,technician,married,professional.course,no,yes,may,14,124,42,0,nonexistent,93.994,4.858,no
33960,,,divorced,,no,yes,may,28,213,1,0,nonexistent,92.893,1.281,no
11096,31,technician,single,professional.course,unknown,no,jun,20,127,1,0,nonexistent,94.465,4.961,no
4009,35,admin.,married,university.degree,no,yes,may,9,67,1,0,nonexistent,93.994,4.858,no
22492,54,blue-collar,married,unknown,unknown,yes,aug,31,150,1,0,nonexistent,93.444,4.964,no
6222,36,services,married,high.school,unknown,no,may,14,318,3,0,nonexistent,93.994,4.857,no
25749,44,services,married,high.school,no,no,nov,29,37,1,1,failure,93.2,4.12,no
22363,53,blue-collar,married,basic.4y,no,yes,aug,18,195,1,0,nonexistent,93.444,4.963,no
15476,35,technician,married,university.degree,no,no,jul,13,642,1,0,nonexistent,93.918,4.957,no
13028,27,admin.,single,professional.course,no,yes,jul,23,520,3,0,nonexistent,93.918,4.962,no
10016,32,entrepreneur,married,high.school,unknown,no,jun,18,850,8,0,nonexistent,94.465,4.959,no
10098,49,services,married,high.school,unknown,no,jun,30,128,1,0,nonexistent,94.465,4.958,no
29959,53,blue-collar,married,basic.6y,no,yes,apr,1,208,2,0,nonexistent,93.075,1.405,no
7474,,,single,,unknown,yes,may,27,447,1,0,nonexistent,93.994,4.864,no
13544,31,admin.,divorced,high.school,no,no,jul,15,128,6,0,nonexistent,93.918,4.963,no
22979,44,admin.,married,university.degree,no,no,aug,4,56,5,0,nonexistent,93.444,4.965,no
13321,28,blue-collar,married,basic.4y,unknown,no,jul,10,98,2,0,nonexistent,93.918,4.962,no
15044,,,divorced,,no,no,jul,5,124,1,0,nonexistent,93.918,4.958,no
40190,54,admin.,married,university.degree,no,no,jul,12,84,5,2,failure,94.215,0.861,no
40819,31,admin.,married,university.degree,no,yes,sep,26,232,2,1,success,94.199,0.879,yes
6065,45,blue-collar,single,basic.9y,no,no,may,20,643,2,0,nonexistent,93.994,4.857,no
22232,45,technician,single,university.degree,no,no,aug,11,545,3,0,nonexistent,93.444,4.963,no
35080,37,admin.,married,high.school,no,yes,may,22,22,6,0,nonexistent,92.893,1.25,no
6912,47,blue-collar,single,basic.9y,no,yes,may,22,54,1,0,nonexistent,93.994,4.86,no
857,47,blue-collar,married,professional.course,unknown,yes,may,14,131,1,0,nonexistent,93.994,4.856,no
35753,52,admin.,divorced,high.school,no,yes,may,4,54,2,1,failure,92.893,1.244,no
9590,,,single,,no,no,jun,9,186,3,0,nonexistent,94.465,4.961,no
3290,47,blue-collar,married,basic.9y,unknown,yes,may,3,221,4,0,nonexistent,93.994,4.86,no
34533,26,blue-collar,single,basic.9y,no,no,may,22,294,2,0,nonexistent,92.893,1.266,no
22846,37,technician,married,university.degree,no,yes,aug,18,121,2,0,nonexistent,93.444,4.965,no
14181,38,blue-collar,married,high.school,unknown,no,jul,25,90,3,0,nonexistent,93.918,4.962,no
12005,52,technician,married,basic.9y,no,yes,jun,24,138,3,0,nonexistent,94.465,4.955,no
37977,54,technician,married,professional.course,no,no,sep,9,99,1,0,nonexistent,92.379,0.797,no
4559,43,technician,married,unknown,no,yes,may,18,324,2,0,nonexistent,93.994,4.856,no
22944,59,management,married,university.degree,no,no,aug,8,163,2,0,nonexistent,93.444,4.965,no
5987,51,unemployed,married,professional.course,no,no,may,28,171,3,0,nonexistent,93.994,4.857,no
11806,29,blue-collar,married,unknown,unknown,no,jun,1,55,5,0,nonexistent,94.465,4.959,no
6245,34,admin.,single,university.degree,no,yes,may,31,40,3,0,nonexistent,93.994,4.857,no
16227,37,student,single,unknown,no,yes,jul,23,661,2,0,nonexistent,93.918,4.961,no
35751,38,admin.,single,high.school,no,no,may,2,22,3,0,nonexistent,92.893,1.244,no
10089,55,self-employed,married,unknown,unknown,yes,jun,13,278,1,0,nonexistent,94.465,4.958,no
29632,56,services,married,basic.4y,no,yes,apr,5,15,1,0,nonexistent,93.075,1.405,no
37063,42,blue-collar,married,basic.6y,no,yes,jul,22,72,1,0,nonexistent,92.469,1.029,no
31440,34,admin.,married,university.degree,no,no,may,17,149,4,0,nonexistent,92.893,1.334,no
37493,81,retired,married,basic.6y,no,no,aug,29,189,2,1,success,92.201,0.873,no
23250,44,technician,divorced,professional.course,no,no,aug,26,157,2,0,nonexistent,93.444,4.964,no
13415,25,technician,married,university.degree,no,unknown,jul,1,446,1,0,nonexistent,93.918,4.962,no
26915,30,admin.,married,high.school,no,no,nov,5,361,2,1,failure,93.2,4.076,no
33666,29,self-employed,single,professional.course,no,yes,may,7,774,2,1,failure,92.893,1.281,yes
25576,47,services,married,high.school,no,yes,nov,1,311,1,0,nonexistent,93.2,4.12,no
40348,37,technician,single,university.degree,no,yes,aug,2,481,2,4,failure,94.027,0.899,yes
36547,,,single,,no,unknown,jun,18,699,1,1,failure,92.963,1.26,yes
33718,31,admin.,single,high.school,no,yes,may,20,850,1,0,nonexistent,92.893,1.281,yes
39440,35,admin.,married,university.degree,no,yes,apr,17,176,1,0,nonexistent,93.749,0.642,yes
27129,29,admin.,married,high.school,no,yes,nov,27,140,1,0,nonexistent,93.2,4.021,no
6112,53,self-employed,married,university.degree,no,no,may,4,202,1,0,nonexistent,93.994,4.857,no
10329,29,admin.,single,basic.9y,unknown,no,jun,26,1298,2,0,nonexistent,94.465,4.96,no
4325,45,blue-collar,married,basic.9y,unknown,no,may,5,253,1,0,nonexistent,93.994,4.856,no
24079,39,management,married,university.degree,no,yes,nov,16,204,1,0,nonexistent,93.2,4.663,yes
19565,41,unemployed,divorced,university.degree,unknown,yes,aug,24,122,1,0,nonexistent,93.444,4.968,no
28924,55,admin.,married,basic.4y,no,no,apr,30,198,1,0,nonexistent,93.075,1.405,no
2385,41,technician,single,professional.course,no,yes,may,1,122,1,0,nonexistent,93.994,4.856,no
26749,30,services,married,high.school,no,no,nov,1,186,1,0,nonexistent,93.2,4.076,no
27147,50,blue-collar,divorced,professional.course,no,yes,nov,12,102,1,0,nonexistent,93.2,4.021,no
8278,37,management,married,university.degree,no,no,jun,18,303,1,0,nonexistent,94.465,4.864,no
20190,41,self-employed,married,university.degree,no,no,aug,24,247,2,0,nonexistent,93.444,4.965,no
14005,35,admin.,married,high.school,no,no,jul,26,213,2,0,nonexistent,93.918,4.963,no
37330,58,technician,married,professional.course,no,no,aug,1,704,2,0,nonexistent,92.201,0.883,yes
24135,34,admin.,single,high.school,no,no,nov,29,303,1,1,failure,93.2,4.191,no
2757,48,blue-collar,married,basic.4y,no,yes,may,25,158,2,0,nonexistent,93.994,4.859,no
8814,30,technician,single,professional.course,no,unknown,jun,19,67,1,0,nonexistent,94.465,4.866,no
40163,70,retired,divorced,basic.4y,no,no,jul,30,390,2,2,success,94.215,0.846,yes
37795,63,technician,married,unknown,no,yes,aug,16,279,1,1,failure,92.201,0.838,no
26142,53,unemployed,married,basic.9y,no,yes,nov,5,248,2,0,nonexistent,93.2,4.12,no
3986,51,blue-collar,married,basic.4y,unknown,yes,may,14,792,4,0,nonexistent,93.994,4.858,no
26938,33,management,single,university.degree,no,no,nov,14,2420,3,0,nonexistent,93.2,4.076,yes
28909,54,entrepreneur,married,basic.9y,no,yes,apr,21,52,1,0,nonexistent,93.075,1.405,no
9060,39,blue-collar,married,basic.6y,no,no,jun,17,31,5,0,nonexistent,94.465,4.866,no
40629,27,services,single,high.school,no,no,sep,9,35,1,0,nonexistent,94.199,0.882,no
26890,43,technician,married,professional.course,no,no,nov,1,75,3,0,nonexistent,93.2,4.076,no
19651,36,admin.,married,high.school,unknown,yes,aug,26,165,3,0,nonexistent,93.444,4.968,no
9254,42,technician,married,basic.9y,no,no,jun,25,100,2,0,nonexistent,94.465,4.967,no
9267,41,blue-collar,married,basic.9y,unknown,yes,jun,22,326,1,0,nonexistent,94.465,4.967,no
28238,39,technician,married,basic.6y,no,no,apr,16,88,3,0,nonexistent,93.075,1.453,no
30626,51,unemployed,married,high.school,no,no,may,20,14,5,1,success,92.893,1.354,no
25837,32,services,married,professional.course,no,yes,nov,2,186,1,0,nonexistent,93.2,4.12,no
24965,47,services,married,high.school,no,yes,nov,26,103,1,1,failure,93.2,4.153,no
15572,39,blue-collar,married,basic.9y,no,yes,jul,28,99,5,0,nonexistent,93.918,4.957,no
18917,52,blue-collar,married,basic.9y,no,yes,aug,29,551,1,0,nonexistent,93.444,4.97,no
7775,38,services,married,high.school,unknown,yes,jun,6,25,7,0,nonexistent,94.465,4.865,no
657,56,management,married,university.degree,unknown,no,may,12,92,2,0,nonexistent,93.994,4.857,no
23505,33,services,married,professional.course,no,yes,aug,5,51,5,0,nonexistent,93.444,4.962,no
21272,52,admin.,divorced,university.degree,no,no,aug,6,91,2,0,nonexistent,93.444,4.963,no
14240,27,blue-collar,single,basic.9y,no,unknown,jul,24,182,3,0,nonexistent,93.918,4.962,no
24203,,,married,,no,unknown,nov,11,126,1,0,nonexistent,93.2,4.191,no
40467,51,blue-collar,married,basic.9y,no,yes,aug,11,237,1,4,success,94.027,0.903,yes
2830,52,blue-collar,married,basic.4y,unknown,yes,may,27,833,1,0,nonexistent,93.994,4.859,no
943,55,blue-collar,married,basic.4y,unknown,no,may,29,1581,2,0,nonexistent,93.994,4.856,no
4215,36,technician,married,professional.course,no,no,may,18,150,1,0,nonexistent,93.994,4.856,no
30156,21,admin.,single,high.school,no,no,apr,24,264,1,0,nonexistent,93.075,1.365,no
23363,46,housemaid,married,basic.4y,no,no,aug,16,10,14,0,nonexistent,93.444,4.964,no
29526,34,blue-collar,married,basic.9y,unknown,no,apr,4,49,5,1,failure,93.075,1.405,no
24387,33,technician,single,university.degree,no,no,nov,9,69,1,0,nonexistent,93.2,4.191,no
14040,22,blue-collar,married,professional.course,no,yes,jul,18,143,5,0,nonexistent,93.918,4.963,no
14938,,,married,,unknown,no,jul,8,252,2,0,nonexistent,93.918,4.957,no
41100,33,admin.,married,university.degree,no,yes,nov,11,482,1,1,success,94.767,1.049,yes
25361,35,services,divorced,basic.9y,no,yes,nov,21,62,6,0,nonexistent,93.2,4.153,no
26418,38,admin.,married,high.school,no,unknown,nov,14,309,1,0,nonexistent,93.2,4.076,no
2004,48,entrepreneur,married,high.school,no,yes,may,20,76,2,0,nonexistent,93.994,4.857,no
34293,39,services,divorced,high.school,no,no,may,2,186,1,0,nonexistent,92.893,1.266,no
23422,31,technician,single,professional.course,no,yes,aug,23,72,3,0,nonexistent,93.444,4.964,no
37635,74,retired,married,basic.9y,no,yes,aug,7,156,1,1,failure,92.201,0.861,yes
9701,26,admin.,single,high.school,no,yes,jun,10,223,2,0,nonexistent,94.465,4.961,no
15968,55,technician,married,professional.course,unknown,no,jul,1,78,4,0,nonexistent,93.918,4.96,no
25441,33,admin.,married,university.degree,no,yes,nov,14,84,3,0,nonexistent,93.2,4.12,no
6882,43,unemployed,married,high.school,no,yes,may,11,585,3,0,nonexistent,93.994,4.857,no
36538,26,technician,single,professional.course,no,yes,jun,8,102,1,0,nonexistent,92.963,1.26,no
18392,35,technician,married,professional.course,no,no,jul,9,207,3,0,nonexistent,93.918,4.968,no
36152,33,admin.,single,university.degree,no,yes,may,26,200,1,0,nonexistent,92.893,1.27,yes
28781,37,admin.,married,professional.course,no,yes,apr,23,700,5,0,nonexistent,93.075,1.41,yes
27941,28,admin.,single,high.school,no,no,mar,14,234,2,0,nonexistent,92.843,1.531,yes
8201,,,single,,no,unknown,jun,1,23,1,0,nonexistent,94.465,4.864,no
38615,37,self-employed,married,professional.course,no,yes,nov,19,1024,1,1,success,92.649,0.722,yes
29650,48,retired,divorced,basic.4y,unknown,yes,apr,24,132,3,0,nonexistent,93.075,1.405,no
7760,24,entrepreneur,married,university.degree,unknown,no,may,10,1193,2,0,nonexistent,93.994,4.864,no
17944,44,blue-collar,single,basic.9y,no,yes,jul,20,1127,11,0,nonexistent,93.918,4.961,yes
14422,32,admin.,single,university.degree,no,unknown,jul,6,136,3,0,nonexistent,93.918,4.961,no
25100,,,married,,no,unknown,nov,25,121,1,0,nonexistent,93.2,4.153,no
37872,36,technician,single,professional.course,no,yes,aug,27,62,1,1,failure,92.201,0.821,no
10861,28,technician,single,university.degree,unknown,no,jun,17,262,2,0,nonexistent,94.465,4.962,no
37234,,,married,,no,yes,aug,23,325,1,1,success,92.201,0.881,no
5382,26,services,single,high.school,no,no,may,26,211,4,0,nonexistent,93.994,4.857,no
35028,32,admin.,divorced,high.school,no,no,may,18,25,1,0,nonexistent,92.893,1.25,no
3861,,,divorced,,no,yes,may,5,169,3,0,nonexistent,93.994,4.859,no
34644,37,housemaid,single,high.school,no,yes,may,24,142,2,0,nonexistent,92.893,1.266,no
39220,34,admin.,single,university.degree,no,yes,mar,18,568,1,3,success,93.369,0.652,yes
2761,40,housemaid,divorced,basic.6y,unknown,yes,may,3,477,5,0,nonexistent,93.994,4.859,no
3375,28,student,single,basic.4y,no,no,may,13,484,8,0,nonexistent,93.994,4.86,no
13270,32,technician,single,university.degree,no,no,jul,20,90,1,0,nonexistent,93.918,4.962,no
10030,29,services,married,high.school,no,yes,jun,19,109,2,0,nonexistent,94.465,4.958,no
36044,54,admin.,divorced,professional.course,no,yes,may,2,81,1,1,failure,92.893,1.266,no
33469,35,admin.,single,basic.9y,no,yes,may,29,301,3,1,success,92.893,1.291,no
34181,27,self-employed,married,basic.9y,no,yes,may,5,285,2,0,nonexistent,92.893,1.281,no
23075,48,housemaid,married,basic.9y,no,yes,aug,22,155,1,0,nonexistent,93.444,4.965,no
24450,38,entrepreneur,married,high.school,no,yes,nov,27,63,2,0,nonexistent,93.2,4.191,no
41121,46,admin.,single,university.degree,no,yes,nov,7,1166,3,1,failure,94.767,1.046,no
31199,34,blue-collar,married,basic.4y,no,yes,may,21,338,4,0,nonexistent,92.893,1.334,no
40291,,,divorced,,no,no,jul,21,169,2,2,success,94.215,0.899,yes
38159,35,admin.,married,high.school,no,no,oct,29,302,1,2,success,92.431,0.754,no
24494,,,single,,no,yes,nov,2,183,1,0,nonexistent,93.2,4.191,no
16954,38,blue-collar,single,high.school,unknown,no,jul,24,147,3,0,nonexistent,93.918,4.962,no
24122,57,management,married,university.degree,no,yes,nov,3,76,1,0,nonexistent,93.2,4.191,no
9506,47,management,married,basic.4y,no,no,jun,24,74,2,0,nonexistent,94.465,4.961,no
23336,47,admin.,married,university.degree,no,no,aug,2,63,3,0,nonexistent,93.444,4.964,no
7915,36,technician,married,professional.course,no,yes,jun,12,302,1,0,nonexistent,94.465,4.865,no
37482,62,retired,married,university.degree,unknown,yes,aug,8,791,2,0,nonexistent,92.201,0.873,no
31678,,,single,,no,no,may,29,16,1,0,nonexistent,92.893,1.327,no
22782,50,housemaid,married,basic.4y,no,no,aug,4,119,1,0,nonexistent,93.444,4.965,no
35220,32,technician,single,university.degree,no,no,may,15,137,2,1,failure,92.893,1.25,no
34066,29,services,single,basic.6y,no,yes,may,4,252,5,0,nonexistent,92.893,1.281,no
21099,38,technician,divorced,university.degree,unknown,no,aug,14,125,3,0,nonexistent,93.444,4.963,no
14928,38,blue-collar,married,basic.4y,unknown,yes,jul,12,406,4,0,nonexistent,93.918,4.957,no
15638,30,management,single,university.degree,no,yes,jul,19,90,3,0,nonexistent,93.918,4.96,no
38357,36,management,married,basic.4y,no,no,oct,3,143,2,0,nonexistent,92.431,0.739,no
28019,41,blue-collar,married,basic.4y,unknown,yes,apr,11,288,1,2,failure,93.075,1.483,no
6136,38,blue-collar,single,basic.9y,no,yes,may,12,174,1,0,nonexistent,93.994,4.857,no
5907,44,technician,married,professional.course,no,yes,may,24,200,3,0,nonexistent,93.994,4.857,no
39822,47,blue-collar,married,basic.9y,no,no,jun,7,544,1,0,nonexistent,94.055,0.713,no
19735,,,divorced,,no,yes,aug,9,218,6,0,nonexistent,93.444,4.968,no
5707,43,entrepreneur,married,high.school,no,yes,may,10,642,2,0,nonexistent,93.994,4.857,yes
12169,58,management,married,university.degree,no,no,jul,5,55,1,0,nonexistent,93.918,4.955,no
11583,42,blue-collar,married,basic.9y,unknown,yes,jun,23,93,2,0,nonexistent,94.465,4.959,no
35930,46,admin.,single,university.degree,no,no,may,25,344,1,0,nonexistent,92.893,1.264,no
6390,39,technician,married,professional.course,no,no,may,26,73,5,0,nonexistent,93.994,4.857,no
35834,,,single,,no,no,may,4,582,1,1,success,92.893,1.259,yes
23084,55,technician,divorced,university.degree,no,yes,aug,31,610,1,0,nonexistent,93.444,4.965,no
26166,34,management,single,high.school,no,yes,nov,30,201,2,1,success,93.2,4.12,no
24007,35,management,married,university.degree,no,yes,oct,9,309,1,0,nonexistent,93.798,5,no
