client_id,age,job,marital,education,credit_default,mortgage,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome,date
144,38.0,Admin.,Divorced,University.Degree,No,Yes,01:13,1,0,Nonexistent,93.994,4.857,Failed,2022-05-24
36968,47.0,Housemaid,Married,Basic.6Y,No,No,02:28,1,0,Nonexistent,92.469,1.072,Failed,2022-07-19
36562,69.0,Entrepreneur,Married,High.School,No,No,02:20,2,0,Nonexistent,92.963,1.26,Successful,2022-06-15
40868,26.0,Technician,Single,University.Degree,No,No,10:49,1,0,Nonexistent,94.601,0.959,Successful,2022-10-02
14050,38.0,Admin.,Divorced,University.Degree,No,No,15:11,2,0,Nonexistent,93.918,4.963,Successful,2022-07-13
10835,36.0,Blue-Collar,Single,High.School,No,Yes,13:55,1,0,Nonexistent,94.465,4.962,Successful,2022-06-02
11042,31.0,Services,Single,High.School,No,No,00:49,2,0,Nonexistent,94.465,4.962,Failed,2022-06-02
23685,38.0,Admin.,Single,University.Degree,No,Yes,04:49,1,0,Nonexistent,93.444,4.962,Failed,2022-08-22
24425,33.0,Blue-Collar,Married,Basic.9Y,No,Yes,01:34,1,0,Nonexistent,93.2,4.191,Failed,2022-11-22
8725,30.0,Blue-Collar,Married,Basic.6Y,No,No,03:21,2,0,Nonexistent,94.465,4.864,Failed,2022-06-08
25809,30.0,Management,Married,University.Degree,No,No,01:12,5,0,Nonexistent,93.2,4.12,Failed,2022-11-29
24999,50.0,Entrepreneur,Married,Basic.9Y,No,No,00:02,1,0,Nonexistent,93.2,4.153,Failed,2022-11-08
12662,38.0,Blue-Collar,Married,Basic.9Y,No,No,05:40,3,0,Nonexistent,93.918,4.96,Failed,2022-07-26
41020,25.0,Student,Single,High.School,No,Yes,03:54,1,1,Success,94.601,1.029,Successful,2022-10-08
756,30.0,Services,Married,University.Degree,No,Yes,00:51,3,0,Nonexistent,93.994,4.856,Failed,2022-05-06
28062,45.0,Blue-Collar,Married,Basic.4Y,No,Yes,15:05,1,1,Failure,93.075,1.479,Failed,2022-04-14
6314,55.0,Retired,Married,High.School,No,Yes,09:51,5,0,Nonexistent,93.994,4.857,Failed,2022-05-27
12357,45.0,Blue-Collar,Married,Basic.9Y,No,Yes,04:57,1,0,Nonexistent,93.918,4.959,Failed,2022-07-22
12515,38.0,Admin.,Married,University.Degree,No,Yes,03:21,1,0,Nonexistent,93.918,4.96,Failed,2022-07-17
23461,44.0,Technician,Married,Professional.Course,No,Yes,00:27,9,0,Nonexistent,93.444,4.964,Failed,2022-08-30
6108,34.0,Blue-Collar,Married,Basic.9Y,No,No,00:59,1,0,Nonexistent,93.994,4.857,Failed,2022-05-27
32668,38.0,Admin.,Married,University.Degree,No,Yes,15:34,1,1,Failure,92.893,1.299,Successful,2022-05-15
38202,63.0,Retired,Married,High.School,No,Yes,05:23,1,0,Nonexistent,92.431,0.74,Failed,2022-10-14
2464,36.0,Blue-Collar,Married,Basic.9Y,No,No,04:56,1,0,Nonexistent,93.994,4.856,Failed,2022-05-09
33789,24.0,Admin.,Married,Basic.9Y,No,Yes,05:02,1,1,Success,92.893,1.281,Successful,2022-05-28
15983,24.0,Admin.,Single,High.School,No,Yes,12:02,3,0,Nonexistent,93.918,4.96,Failed,2022-07-20
12893,37.0,Blue-Collar,Single,Basic.6Y,No,No,05:38,3,0,Nonexistent,93.918,4.962,Failed,2022-07-18
24129,52.0,Technician,Divorced,University.Degree,No,No,03:35,1,0,Nonexistent,93.2,4.191,Failed,2022-11-22
27059,31.0,Admin.,Single,High.School,No,Yes,01:03,1,0,Nonexistent,93.2,4.021,Failed,2022-11-07
39196,41.0,Admin.,Divorced,University.Degree,No,Yes,08:18,2,3,Success,93.369,0.653,Successful,2022-03-13
29731,60.0,Blue-Collar,Married,Basic.4Y,No,Yes,01:29,1,0,Nonexistent,93.075,1.405,Failed,2022-04-08
27101,35.0,Admin.,Single,University.Degree,No,Yes,08:50,1,0,Nonexistent,93.2,4.021,Successful,2022-11-12
4500,50.0,Admin.,Single,University.Degree,No,Yes,02:49,1,0,Nonexistent,93.994,4.856,Failed,2022-05-06
27190,50.0,Admin.,Married,University.Degree,No,Yes,03:09,2,1,Failure,93.2,4.021,Failed,2022-11-04
3419,45.0,Blue-Collar,Married,Basic.4Y,No,Yes,04:36,3,0,Nonexistent,93.994,4.86,Failed,2022-05-19
40576,33.0,Technician,Single,Professional.Course,No,No,07:05,1,0,Nonexistent,94.199,0.886,Failed,2022-09-14
26278,42.0,Management,Married,University.Degree,No,No,01:50,2,0,Nonexistent,93.2,4.076,Failed,2022-11-14
38246,77.0,Retired,Married,University.Degree,No,No,05:48,1,0,Nonexistent,92.431,0.743,Successful,2022-10-26
1631,32.0,Admin.,Married,High.School,No,Yes,01:23,2,0,Nonexistent,93.994,4.855,Failed,2022-05-27
2990,43.0,Services,Single,High.School,No,Yes,15:02,5,0,Nonexistent,93.994,4.859,Failed,2022-05-27
37777,57.0,Retired,Married,University.Degree,No,Yes,05:49,1,0,Nonexistent,92.201,0.843,Failed,2022-08-17
18428,47.0,Admin.,Married,High.School,No,No,03:45,5,0,Nonexistent,93.918,4.968,Failed,2022-07-13
26095,44.0,Entrepreneur,Married,University.Degree,No,Yes,11:16,2,0,Nonexistent,93.2,4.12,Failed,2022-11-22
32714,51.0,Entrepreneur,Married,Professional.Course,No,No,04:55,1,1,Failure,92.893,1.299,Failed,2022-05-03
35636,28.0,Services,Single,High.School,No,Yes,01:31,6,0,Nonexistent,92.893,1.244,Failed,2022-05-01
18183,36.0,Admin.,Married,High.School,No,Yes,02:16,13,0,Nonexistent,93.918,4.963,Failed,2022-07-21
216,30.0,Blue-Collar,Single,Basic.9Y,No,Yes,04:11,1,0,Nonexistent,93.994,4.857,Failed,2022-05-02
13328,38.0,Admin.,Married,University.Degree,No,Yes,11:33,2,0,Nonexistent,93.918,4.962,Failed,2022-07-29
24444,32.0,Admin.,Single,High.School,No,Yes,01:32,1,1,Failure,93.2,4.191,Failed,2022-11-25
25602,43.0,Services,Divorced,High.School,No,No,07:46,1,0,Nonexistent,93.2,4.12,Failed,2022-11-19
3445,40.0,Blue-Collar,Single,Basic.4Y,No,No,08:07,4,0,Nonexistent,93.994,4.86,Failed,2022-05-17
33317,38.0,Admin.,Married,University.Degree,No,Yes,08:47,2,0,Nonexistent,92.893,1.291,Failed,2022-05-29
13282,44.0,Admin.,Married,High.School,No,Yes,01:37,1,0,Nonexistent,93.918,4.962,Failed,2022-07-28
4243,46.0,Blue-Collar,Married,Basic.4Y,No,Yes,06:49,2,0,Nonexistent,93.994,4.856,Failed,2022-05-03
13926,36.0,Services,Single,High.School,No,Yes,04:09,2,0,Nonexistent,93.918,4.963,Failed,2022-07-31
3270,46.0,Blue-Collar,Single,Basic.4Y,No,No,03:38,2,0,Nonexistent,93.994,4.86,Failed,2022-05-12
34279,31.0,Services,Married,High.School,No,Yes,05:48,1,0,Nonexistent,92.893,1.266,Failed,2022-05-09
34151,56.0,Blue-Collar,Married,Basic.4Y,No,Yes,01:20,2,0,Nonexistent,92.893,1.281,Failed,2022-05-29
18143,25.0,Services,Single,Basic.9Y,No,Yes,08:55,1,0,Nonexistent,93.918,4.963,Failed,2022-07-30
26517,38.0,Admin.,Married,University.Degree,No,No,03:47,1,0,Nonexistent,93.2,4.076,Failed,2022-11-29
8085,49.0,Blue-Collar,Married,Basic.4Y,No,No,02:54,2,0,Nonexistent,94.465,4.865,Failed,2022-06-29
27441,40.0,Management,Married,High.School,No,Yes,00:07,4,0,Nonexistent,93.2,4.021,Failed,2022-11-08
41031,25.0,Student,Single,High.School,No,Yes,03:09,1,4,Success,94.601,1.032,Failed,2022-10-22
25158,38.0,Admin.,Divorced,University.Degree,No,No,02:59,1,0,Nonexistent,93.2,4.153,Failed,2022-11-06
26621,38.0,Admin.,Single,University.Degree,No,Yes,01:10,1,0,Nonexistent,93.2,4.076,Failed,2022-11-15
38324,28.0,Services,Married,Basic.9Y,No,Yes,03:06,1,1,Failure,92.431,0.739,Successful,2022-10-31
8231,38.0,Admin.,Married,University.Degree,No,Yes,02:06,4,0,Nonexistent,94.465,4.864,Failed,2022-06-04
28107,44.0,Management,Divorced,University.Degree,No,Yes,03:50,1,0,Nonexistent,93.075,1.479,Failed,2022-04-05
11011,42.0,Admin.,Married,Basic.6Y,No,Yes,05:00,3,0,Nonexistent,94.465,4.962,Failed,2022-06-16
532,41.0,Blue-Collar,Married,Basic.6Y,No,No,00:13,1,0,Nonexistent,93.994,4.857,Failed,2022-05-16
11511,60.0,Retired,Divorced,University.Degree,No,Yes,01:38,4,0,Nonexistent,94.465,4.959,Failed,2022-06-26
22236,29.0,Admin.,Single,High.School,No,Yes,13:08,3,0,Nonexistent,93.444,4.963,Successful,2022-08-17
36852,53.0,Housemaid,Married,Basic.4Y,No,Yes,04:05,2,0,Nonexistent,92.963,1.252,Successful,2022-06-13
38578,60.0,Technician,Married,Basic.4Y,No,Yes,02:13,6,2,Failure,92.431,0.722,Failed,2022-10-10
10646,38.0,Admin.,Divorced,University.Degree,No,Yes,03:25,1,0,Nonexistent,94.465,4.961,Failed,2022-06-29
29822,52.0,Entrepreneur,Married,Basic.9Y,No,Yes,01:07,5,0,Nonexistent,93.075,1.405,Failed,2022-04-21
16548,49.0,Self-Employed,Divorced,University.Degree,No,No,03:27,2,0,Nonexistent,93.918,4.963,Failed,2022-07-29
2000,38.0,Admin.,Married,University.Degree,No,Yes,16:42,5,0,Nonexistent,93.994,4.857,Failed,2022-05-03
28517,38.0,Admin.,Married,University.Degree,No,Yes,01:12,4,0,Nonexistent,93.075,1.423,Failed,2022-04-05
17075,38.0,Admin.,Single,University.Degree,No,No,04:55,1,0,Nonexistent,93.918,4.962,Failed,2022-07-19
6330,28.0,Management,Married,University.Degree,No,No,06:11,2,0,Nonexistent,93.994,4.857,Failed,2022-05-02
29675,33.0,Blue-Collar,Married,High.School,No,No,01:27,2,2,Failure,93.075,1.405,Failed,2022-04-26
18294,38.0,Admin.,Married,University.Degree,No,Yes,01:27,3,0,Nonexistent,93.918,4.963,Failed,2022-07-29
23558,46.0,Technician,Married,University.Degree,No,Yes,00:13,14,0,Nonexistent,93.444,4.962,Failed,2022-08-19
7945,54.0,Admin.,Married,High.School,No,Yes,08:10,12,0,Nonexistent,94.465,4.865,Failed,2022-06-22
23678,45.0,Technician,Divorced,Professional.Course,No,No,01:16,1,0,Nonexistent,93.444,4.962,Failed,2022-08-16
11335,38.0,Admin.,Married,High.School,No,Yes,01:57,2,0,Nonexistent,94.465,4.961,Failed,2022-06-11
729,24.0,Technician,Single,Professional.Course,No,No,07:01,2,0,Nonexistent,93.994,4.857,Failed,2022-05-20
20940,31.0,Technician,Married,University.Degree,No,Yes,03:34,1,0,Nonexistent,93.444,4.964,Failed,2022-08-30
4168,29.0,Technician,Married,Professional.Course,No,Yes,02:04,42,0,Nonexistent,93.994,4.858,Failed,2022-05-14
33960,38.0,Admin.,Divorced,University.Degree,No,Yes,03:33,1,0,Nonexistent,92.893,1.281,Failed,2022-05-28
11096,31.0,Technician,Single,Professional.Course,No,No,02:07,1,0,Nonexistent,94.465,4.961,Failed,2022-06-20
4009,35.0,Admin.,Married,University.Degree,No,Yes,01:07,1,0,Nonexistent,93.994,4.858,Failed,2022-05-09
22492,54.0,Blue-Collar,Married,Basic.9Y,No,Yes,02:30,1,0,Nonexistent,93.444,4.964,Failed,2022-08-31
6222,36.0,Services,Married,High.School,No,No,05:18,3,0,Nonexistent,93.994,4.857,Failed,2022-05-14
25749,44.0,Services,Married,High.School,No,No,00:37,1,1,Failure,93.2,4.12,Failed,2022-11-29
22363,53.0,Blue-Collar,Married,Basic.4Y,No,Yes,03:15,1,0,Nonexistent,93.444,4.963,Failed,2022-08-18
15476,35.0,Technician,Married,University.Degree,No,No,10:42,1,0,Nonexistent,93.918,4.957,Failed,2022-07-13
13028,27.0,Admin.,Single,Professional.Course,No,Yes,08:40,3,0,Nonexistent,93.918,4.962,Failed,2022-07-23
10016,32.0,Entrepreneur,Married,High.School,No,No,14:10,8,0,Nonexistent,94.465,4.959,Failed,2022-06-18
10098,49.0,Services,Married,High.School,No,No,02:08,1,0,Nonexistent,94.465,4.958,Failed,2022-06-30
29959,53.0,Blue-Collar,Married,Basic.6Y,No,Yes,03:28,2,0,Nonexistent,93.075,1.405,Failed,2022-04-01
7474,38.0,Admin.,Single,University.Degree,No,Yes,07:27,1,0,Nonexistent,93.994,4.864,Failed,2022-05-27
13544,31.0,Admin.,Divorced,High.School,No,No,02:08,6,0,Nonexistent,93.918,4.963,Failed,2022-07-15
22979,44.0,Admin.,Married,University.Degree,No,No,00:56,5,0,Nonexistent,93.444,4.965,Failed,2022-08-04
13321,28.0,Blue-Collar,Married,Basic.4Y,No,No,01:38,2,0,Nonexistent,93.918,4.962,Failed,2022-07-10
15044,38.0,Admin.,Divorced,University.Degree,No,No,02:04,1,0,Nonexistent,93.918,4.958,Failed,2022-07-05
40190,54.0,Admin.,Married,University.Degree,No,No,01:24,5,2,Failure,94.215,0.861,Failed,2022-07-12
40819,31.0,Admin.,Married,University.Degree,No,Yes,03:52,2,1,Success,94.199,0.879,Successful,2022-09-26
6065,45.0,Blue-Collar,Single,Basic.9Y,No,No,10:43,2,0,Nonexistent,93.994,4.857,Failed,2022-05-20
22232,45.0,Technician,Single,University.Degree,No,No,09:05,3,0,Nonexistent,93.444,4.963,Failed,2022-08-11
35080,37.0,Admin.,Married,High.School,No,Yes,00:22,6,0,Nonexistent,92.893,1.25,Failed,2022-05-22
6912,47.0,Blue-Collar,Single,Basic.9Y,No,Yes,00:54,1,0,Nonexistent,93.994,4.86,Failed,2022-05-22
857,47.0,Blue-Collar,Married,Professional.Course,No,Yes,02:11,1,0,Nonexistent,93.994,4.856,Failed,2022-05-14
35753,52.0,Admin.,Divorced,High.School,No,Yes,00:54,2,1,Failure,92.893,1.244,Failed,2022-05-04
9590,38.0,Admin.,Single,University.Degree,No,No,03:06,3,0,Nonexistent,94.465,4.961,Failed,2022-06-09
3290,47.0,Blue-Collar,Married,Basic.9Y,No,Yes,03:41,4,0,Nonexistent,93.994,4.86,Failed,2022-05-03
34533,26.0,Blue-Collar,Single,Basic.9Y,No,No,04:54,2,0,Nonexistent,92.893,1.266,Failed,2022-05-22
22846,37.0,Technician,Married,University.Degree,No,Yes,02:01,2,0,Nonexistent,93.444,4.965,Failed,2022-08-18
14181,38.0,Blue-Collar,Married,High.School,No,No,01:30,3,0,Nonexistent,93.918,4.962,Failed,2022-07-25
12005,52.0,Technician,Married,Basic.9Y,No,Yes,02:18,3,0,Nonexistent,94.465,4.955,Failed,2022-06-24
37977,54.0,Technician,Married,Professional.Course,No,No,01:39,1,0,Nonexistent,92.379,0.797,Failed,2022-09-09
4559,43.0,Technician,Married,Professional.Course,No,Yes,05:24,2,0,Nonexistent,93.994,4.856,Failed,2022-05-18
22944,59.0,Management,Married,University.Degree,No,No,02:43,2,0,Nonexistent,93.444,4.965,Failed,2022-08-08
5987,51.0,Unemployed,Married,Professional.Course,No,No,02:51,3,0,Nonexistent,93.994,4.857,Failed,2022-05-28
11806,29.0,Blue-Collar,Married,Basic.9Y,No,No,00:55,5,0,Nonexistent,94.465,4.959,Failed,2022-06-01
6245,34.0,Admin.,Single,University.Degree,No,Yes,00:40,3,0,Nonexistent,93.994,4.857,Failed,2022-05-31
16227,37.0,Student,Single,High.School,No,Yes,11:01,2,0,Nonexistent,93.918,4.961,Failed,2022-07-23
35751,38.0,Admin.,Single,High.School,No,No,00:22,3,0,Nonexistent,92.893,1.244,Failed,2022-05-02
10089,55.0,Self-Employed,Married,University.Degree,No,Yes,04:38,1,0,Nonexistent,94.465,4.958,Failed,2022-06-13
29632,56.0,Services,Married,Basic.4Y,No,Yes,00:15,1,0,Nonexistent,93.075,1.405,Failed,2022-04-05
37063,42.0,Blue-Collar,Married,Basic.6Y,No,Yes,01:12,1,0,Nonexistent,92.469,1.029,Failed,2022-07-22
31440,34.0,Admin.,Married,University.Degree,No,No,02:29,4,0,Nonexistent,92.893,1.334,Failed,2022-05-17
37493,81.0,Retired,Married,Basic.6Y,No,No,03:09,2,1,Success,92.201,0.873,Failed,2022-08-29
23250,44.0,Technician,Divorced,Professional.Course,No,No,02:37,2,0,Nonexistent,93.444,4.964,Failed,2022-08-26
13415,25.0,Technician,Married,University.Degree,No,Yes,07:26,1,0,Nonexistent,93.918,4.962,Failed,2022-07-01
26915,30.0,Admin.,Married,High.School,No,No,06:01,2,1,Failure,93.2,4.076,Failed,2022-11-05
33666,29.0,Self-Employed,Single,Professional.Course,No,Yes,12:54,2,1,Failure,92.893,1.281,Successful,2022-05-07
25576,47.0,Services,Married,High.School,No,Yes,05:11,1,0,Nonexistent,93.2,4.12,Failed,2022-11-01
40348,37.0,Technician,Single,University.Degree,No,Yes,08:01,2,4,Failure,94.027,0.899,Successful,2022-08-02
36547,38.0,Admin.,Single,University.Degree,No,Yes,11:39,1,1,Failure,92.963,1.26,Successful,2022-06-18
33718,31.0,Admin.,Single,High.School,No,Yes,14:10,1,0,Nonexistent,92.893,1.281,Successful,2022-05-20
39440,35.0,Admin.,Married,University.Degree,No,Yes,02:56,1,0,Nonexistent,93.749,0.642,Successful,2022-04-17
27129,29.0,Admin.,Married,High.School,No,Yes,02:20,1,0,Nonexistent,93.2,4.021,Failed,2022-11-27
6112,53.0,Self-Employed,Married,University.Degree,No,No,03:22,1,0,Nonexistent,93.994,4.857,Failed,2022-05-04
10329,29.0,Admin.,Single,Basic.9Y,No,No,21:38,2,0,Nonexistent,94.465,4.96,Failed,2022-06-26
4325,45.0,Blue-Collar,Married,Basic.9Y,No,No,04:13,1,0,Nonexistent,93.994,4.856,Failed,2022-05-05
24079,39.0,Management,Married,University.Degree,No,Yes,03:24,1,0,Nonexistent,93.2,4.663,Successful,2022-11-16
19565,41.0,Unemployed,Divorced,University.Degree,No,Yes,02:02,1,0,Nonexistent,93.444,4.968,Failed,2022-08-24
28924,55.0,Admin.,Married,Basic.4Y,No,No,03:18,1,0,Nonexistent,93.075,1.405,Failed,2022-04-30
2385,41.0,Technician,Single,Professional.Course,No,Yes,02:02,1,0,Nonexistent,93.994,4.856,Failed,2022-05-01
26749,30.0,Services,Married,High.School,No,No,03:06,1,0,Nonexistent,93.2,4.076,Failed,2022-11-01
27147,50.0,Blue-Collar,Divorced,Professional.Course,No,Yes,01:42,1,0,Nonexistent,93.2,4.021,Failed,2022-11-12
8278,37.0,Management,Married,University.Degree,No,No,05:03,1,0,Nonexistent,94.465,4.864,Failed,2022-06-18
20190,41.0,Self-Employed,Married,University.Degree,No,No,04:07,2,0,Nonexistent,93.444,4.965,Failed,2022-08-24
14005,35.0,Admin.,Married,High.School,No,No,03:33,2,0,Nonexistent,93.918,4.963,Failed,2022-07-26
37330,58.0,Technician,Married,Professional.Course,No,No,11:44,2,0,Nonexistent,92.201,0.883,Successful,2022-08-01
24135,34.0,Admin.,Single,High.School,No,No,05:03,1,1,Failure,93.2,4.191,Failed,2022-11-29
2757,48.0,Blue-Collar,Married,Basic.4Y,No,Yes,02:38,2,0,Nonexistent,93.994,4.859,Failed,2022-05-25
8814,30.0,Technician,Single,Professional.Course,No,Yes,01:07,1,0,Nonexistent,94.465,4.866,Failed,2022-06-19
40163,70.0,Retired,Divorced,Basic.4Y,No,No,06:30,2,2,Success,94.215,0.846,Successful,2022-07-30
37795,63.0,Technician,Married,Professional.Course,No,Yes,04:39,1,1,Failure,92.201,0.838,Failed,2022-08-16
26142,53.0,Unemployed,Married,Basic.9Y,No,Yes,04:08,2,0,Nonexistent,93.2,4.12,Failed,2022-11-05
3986,51.0,Blue-Collar,Married,Basic.4Y,No,Yes,13:12,4,0,Nonexistent,93.994,4.858,Failed,2022-05-14
26938,33.0,Management,Single,University.Degree,No,No,40:20,3,0,Nonexistent,93.2,4.076,Successful,2022-11-14
28909,54.0,Entrepreneur,Married,Basic.9Y,No,Yes,00:52,1,0,Nonexistent,93.075,1.405,Failed,2022-04-21
9060,39.0,Blue-Collar,Married,Basic.6Y,No,No,00:31,5,0,Nonexistent,94.465,4.866,Failed,2022-06-17
40629,27.0,Services,Single,High.School,No,No,00:35,1,0,Nonexistent,94.199,0.882,Failed,2022-09-09
26890,43.0,Technician,Married,Professional.Course,No,No,01:15,3,0,Nonexistent,93.2,4.076,Failed,2022-11-01
19651,36.0,Admin.,Married,High.School,No,Yes,02:45,3,0,Nonexistent,93.444,4.968,Failed,2022-08-26
9254,42.0,Technician,Married,Basic.9Y,No,No,01:40,2,0,Nonexistent,94.465,4.967,Failed,2022-06-25
9267,41.0,Blue-Collar,Married,Basic.9Y,No,Yes,05:26,1,0,Nonexistent,94.465,4.967,Failed,2022-06-22
28238,39.0,Technician,Married,Basic.6Y,No,No,01:28,3,0,Nonexistent,93.075,1.453,Failed,2022-04-16
30626,51.0,Unemployed,Married,High.School,No,No,00:14,5,1,Success,92.893,1.354,Failed,2022-05-20
25837,32.0,Services,Married,Professional.Course,No,Yes,03:06,1,0,Nonexistent,93.2,4.12,Failed,2022-11-02
24965,47.0,Services,Married,High.School,No,Yes,01:43,1,1,Failure,93.2,4.153,Failed,2022-11-26
15572,39.0,Blue-Collar,Married,Basic.9Y,No,Yes,01:39,5,0,Nonexistent,93.918,4.957,Failed,2022-07-28
18917,52.0,Blue-Collar,Married,Basic.9Y,No,Yes,09:11,1,0,Nonexistent,93.444,4.97,Failed,2022-08-29
7775,38.0,Services,Married,High.School,No,Yes,00:25,7,0,Nonexistent,94.465,4.865,Failed,2022-06-06
657,56.0,Management,Married,University.Degree,No,No,01:32,2,0,Nonexistent,93.994,4.857,Failed,2022-05-12
23505,33.0,Services,Married,Professional.Course,No,Yes,00:51,5,0,Nonexistent,93.444,4.962,Failed,2022-08-05
21272,52.0,Admin.,Divorced,University.Degree,No,No,01:31,2,0,Nonexistent,93.444,4.963,Failed,2022-08-06
14240,27.0,Blue-Collar,Single,Basic.9Y,No,Yes,03:02,3,0,Nonexistent,93.918,4.962,Failed,2022-07-24
24203,38.0,Admin.,Married,University.Degree,No,Yes,02:06,1,0,Nonexistent,93.2,4.191,Failed,2022-11-11
40467,51.0,Blue-Collar,Married,Basic.9Y,No,Yes,03:57,1,4,Success,94.027,0.903,Successful,2022-08-11
2830,52.0,Blue-Collar,Married,Basic.4Y,No,Yes,13:53,1,0,Nonexistent,93.994,4.859,Failed,2022-05-27
943,55.0,Blue-Collar,Married,Basic.4Y,No,No,26:21,2,0,Nonexistent,93.994,4.856,Failed,2022-05-29
4215,36.0,Technician,Married,Professional.Course,No,No,02:30,1,0,Nonexistent,93.994,4.856,Failed,2022-05-18
30156,21.0,Admin.,Single,High.School,No,No,04:24,1,0,Nonexistent,93.075,1.365,Failed,2022-04-24
23363,46.0,Housemaid,Married,Basic.4Y,No,No,00:10,14,0,Nonexistent,93.444,4.964,Failed,2022-08-16
29526,34.0,Blue-Collar,Married,Basic.9Y,No,No,00:49,5,1,Failure,93.075,1.405,Failed,2022-04-04
24387,33.0,Technician,Single,University.Degree,No,No,01:09,1,0,Nonexistent,93.2,4.191,Failed,2022-11-09
14040,22.0,Blue-Collar,Married,Professional.Course,No,Yes,02:23,5,0,Nonexistent,93.918,4.963,Failed,2022-07-18
14938,38.0,Admin.,Married,University.Degree,No,No,04:12,2,0,Nonexistent,93.918,4.957,Failed,2022-07-08
41100,33.0,Admin.,Married,University.Degree,No,Yes,08:02,1,1,Success,94.767,1.049,Successful,2022-11-11
25361,35.0,Services,Divorced,Basic.9Y,No,Yes,01:02,6,0,Nonexistent,93.2,4.153,Failed,2022-11-21
26418,38.0,Admin.,Married,High.School,No,Yes,05:09,1,0,Nonexistent,93.2,4.076,Failed,2022-11-14
2004,48.0,Entrepreneur,Married,High.School,No,Yes,01:16,2,0,Nonexistent,93.994,4.857,Failed,2022-05-20
34293,39.0,Services,Divorced,High.School,No,No,03:06,1,0,Nonexistent,92.893,1.266,Failed,2022-05-02
